r,counts
0.010000,0.022410
0.030000,0.022216
0.050000,0.022158
0.070000,0.022400
0.090000,0.022088
0.110000,0.021927
0.130000,0.021994
0.150000,0.021657
0.170000,0.021512
0.190000,0.021791
0.210000,0.021305
0.230000,0.021444
0.250000,0.021015
0.270000,0.020826
0.290000,0.020686
0.310000,0.020472
0.330000,0.020022
0.350000,0.019575
0.370000,0.019444
0.390000,0.019396
0.410000,0.018861
0.430000,0.018624
0.450000,0.018304
0.470000,0.017871
0.490000,0.017898
0.510000,0.017133
0.530000,0.016818
0.550000,0.016535
0.570000,0.015995
0.590000,0.015814
0.610000,0.015477
0.630000,0.015138
0.650000,0.014689
0.670000,0.014284
0.690000,0.013901
0.710000,0.013559
0.730000,0.013298
0.750000,0.012770
0.770000,0.012637
0.790000,0.012006
0.810000,0.011813
0.830000,0.011298
0.850000,0.010982
0.870000,0.010585
0.890000,0.010162
0.910000,0.009899
0.930000,0.009721
0.950000,0.009285
0.970000,0.009016
0.990000,0.008462
1.010000,0.008323
1.030000,0.007956
1.050000,0.007669
1.070000,0.007174
1.090000,0.006974
1.110000,0.006829
1.130000,0.006500
1.150000,0.006097
1.170000,0.005857
1.190000,0.005499
1.210000,0.005428
1.230000,0.005129
1.250000,0.004890
1.270000,0.004663
1.290000,0.004431
1.310000,0.004254
1.330000,0.004092
1.350000,0.003718
1.370000,0.003637
1.390000,0.003405
1.410000,0.003197
1.430000,0.002956
1.450000,0.002938
1.470000,0.002759
1.490000,0.002543
1.510000,0.002383
1.530000,0.002300
1.550000,0.002134
1.570000,0.001961
1.590000,0.001916
1.610000,0.001735
1.630000,0.001586
1.650000,0.001587
1.670000,0.001466
1.690000,0.001393
1.710000,0.001268
1.730000,0.001183
1.750000,0.001123
1.770000,0.001051
1.790000,0.000961
1.810000,0.000915
1.830000,0.000884
1.850000,0.000773
1.870000,0.000688
1.890000,0.000679
1.910000,0.000684
1.930000,0.000588
1.950000,0.000557
1.970000,0.000524
1.990000,0.000441
2.010000,0.000427
2.030000,0.000444
2.050000,0.000387
2.070000,0.000333
2.090000,0.000314
2.110000,0.000289
2.130000,0.000250
2.150000,0.000235
2.170000,0.000218
2.190000,0.000204
2.210000,0.000180
2.230000,0.000160
2.250000,0.000150
2.270000,0.000151
2.290000,0.000108
2.310000,0.000105
2.330000,0.000119
2.350000,0.000099
2.370000,0.000096
2.390000,0.000085
2.410000,0.000074
2.430000,0.000071
2.450000,0.000059
2.470000,0.000065
2.490000,0.000046
2.510000,0.000047
2.530000,0.000041
2.550000,0.000039
2.570000,0.000037
2.590000,0.000031
2.610000,0.000026
2.630000,0.000022
2.650000,0.000024
2.670000,0.000013
2.690000,0.000022
2.710000,0.000024
2.730000,0.000014
2.750000,0.000016
2.770000,0.000013
2.790000,0.000009
2.810000,0.000011
2.830000,0.000010
2.850000,0.000007
2.870000,0.000008
2.890000,0.000001
2.910000,0.000004
2.930000,0.000007
2.950000,0.000001
2.970000,0.000003
2.990000,0.000004
3.010000,0.000002
3.030000,0.000001
3.050000,0.000006
3.070000,0.000004
3.090000,0.000000
3.110000,0.000000
3.130000,0.000002
3.150000,0.000002
3.170000,0.000001
3.190000,0.000003
3.210000,0.000002
3.230000,0.000002
3.250000,0.000000
3.270000,0.000000
3.290000,0.000000
3.310000,0.000000
3.330000,0.000000
3.350000,0.000000
3.370000,0.000001
3.390000,0.000000
3.410000,0.000001
3.430000,0.000000
3.450000,0.000000
3.470000,0.000000
3.490000,0.000000
3.510000,0.000000
3.530000,0.000000
3.550000,0.000001
3.570000,0.000000
3.590000,0.000000
3.610000,0.000000
3.630000,0.000000
3.650000,0.000001
3.670000,0.000000
3.690000,0.000000
3.710000,0.000000
3.730000,0.000000
3.750000,0.000000
3.770000,0.000000
3.790000,0.000000
3.810000,0.000000
3.830000,0.000000
3.850000,0.000000
3.870000,0.000000
3.890000,0.000000
3.910000,0.000000
3.930000,0.000000
3.950000,0.000000
3.970000,0.000000
3.990000,0.000000
