r,counts
0.010000,0.000000
0.030000,0.000020
0.050000,0.000000
0.070000,0.000193
0.090000,0.001160
0.110000,0.000387
0.130000,0.000834
0.150000,0.000651
0.170000,0.001546
0.190000,0.001312
0.210000,0.001973
0.230000,0.002431
0.250000,0.002096
0.270000,0.003387
0.290000,0.003733
0.310000,0.005493
0.330000,0.005127
0.350000,0.004873
0.370000,0.004639
0.390000,0.004883
0.410000,0.005920
0.430000,0.006063
0.450000,0.007161
0.470000,0.009633
0.490000,0.008779
0.510000,0.008494
0.530000,0.008413
0.550000,0.010559
0.570000,0.010244
0.590000,0.011871
0.610000,0.009847
0.630000,0.010691
0.650000,0.013255
0.670000,0.013133
0.690000,0.012431
0.710000,0.016347
0.730000,0.014038
0.750000,0.013285
0.770000,0.017110
0.790000,0.014750
0.810000,0.013407
0.830000,0.017242
0.850000,0.015493
0.870000,0.015696
0.890000,0.012817
0.910000,0.016937
0.930000,0.014791
0.950000,0.013041
0.970000,0.015462
0.990000,0.014404
1.010000,0.015483
1.030000,0.018158
1.050000,0.016958
1.070000,0.015238
1.090000,0.016744
1.110000,0.016907
1.130000,0.017853
1.150000,0.016703
1.170000,0.015808
1.190000,0.015879
1.210000,0.016815
1.230000,0.013173
1.250000,0.015361
1.270000,0.016734
1.290000,0.015869
1.310000,0.013957
1.330000,0.011780
1.350000,0.013702
1.370000,0.012319
1.390000,0.012533
1.410000,0.012034
1.430000,0.009949
1.450000,0.010193
1.470000,0.012604
1.490000,0.009878
1.510000,0.010712
1.530000,0.010274
1.550000,0.010061
1.570000,0.008921
1.590000,0.010701
1.610000,0.008179
1.630000,0.009176
1.650000,0.008575
1.670000,0.008128
1.690000,0.007579
1.710000,0.006826
1.730000,0.005229
1.750000,0.007100
1.770000,0.005534
1.790000,0.005554
1.810000,0.004323
1.830000,0.006582
1.850000,0.006917
1.870000,0.005636
1.890000,0.004445
1.910000,0.004506
1.930000,0.004873
1.950000,0.004272
1.970000,0.003357
1.990000,0.003835
2.010000,0.003906
2.030000,0.002981
2.050000,0.003428
2.070000,0.003011
2.090000,0.002940
2.110000,0.003123
2.130000,0.002543
2.150000,0.003062
2.170000,0.002228
2.190000,0.002238
2.210000,0.001607
2.230000,0.000814
2.250000,0.001292
2.270000,0.001414
2.290000,0.000895
2.310000,0.001567
2.330000,0.001038
2.350000,0.000743
2.370000,0.000743
2.390000,0.000712
2.410000,0.000987
2.430000,0.000621
2.450000,0.000366
2.470000,0.000732
2.490000,0.000682
2.510000,0.000346
2.530000,0.000326
2.550000,0.000132
2.570000,0.000244
2.590000,0.000387
2.610000,0.000173
2.630000,0.000132
2.650000,0.000356
2.670000,0.000437
2.690000,0.000610
2.710000,0.000153
2.730000,0.000580
2.750000,0.000539
2.770000,0.000112
2.790000,0.000122
2.810000,0.000173
2.830000,0.000041
2.850000,0.000000
2.870000,0.000254
2.890000,0.000153
2.910000,0.000132
2.930000,0.000153
2.950000,0.000000
2.970000,0.000051
2.990000,0.000020
3.010000,0.000051
3.030000,0.000061
3.050000,0.000000
3.070000,0.000000
3.090000,0.000061
3.110000,0.000051
3.130000,0.000000
3.150000,0.000000
3.170000,0.000000
3.190000,0.000051
3.210000,0.000427
3.230000,0.000000
3.250000,0.000000
3.270000,0.000000
3.290000,0.000020
3.310000,0.000000
3.330000,0.000000
3.350000,0.000000
3.370000,0.000000
3.390000,0.000000
3.410000,0.000000
3.430000,0.000000
3.450000,0.000000
3.470000,0.000000
3.490000,0.000000
3.510000,0.000000
3.530000,0.000000
3.550000,0.000000
3.570000,0.000000
3.590000,0.000000
3.610000,0.000000
3.630000,0.000000
3.650000,0.000000
3.670000,0.000000
3.690000,0.000000
3.710000,0.000000
3.730000,0.000000
3.750000,0.000000
3.770000,0.000000
3.790000,0.000000
3.810000,0.000000
3.830000,0.000000
3.850000,0.000000
3.870000,0.000000
3.890000,0.000000
3.910000,0.000000
3.930000,0.000000
3.950000,0.000000
3.970000,0.000000
3.990000,0.000000
