r,counts
0.010000,0.022205
0.030000,0.021533
0.050000,0.021361
0.070000,0.022505
0.090000,0.022011
0.110000,0.022318
0.130000,0.021642
0.150000,0.022118
0.170000,0.021978
0.190000,0.021218
0.210000,0.021138
0.230000,0.020956
0.250000,0.020944
0.270000,0.021108
0.290000,0.020501
0.310000,0.020265
0.330000,0.019801
0.350000,0.019590
0.370000,0.019419
0.390000,0.019312
0.410000,0.018533
0.430000,0.018649
0.450000,0.018023
0.470000,0.018088
0.490000,0.017633
0.510000,0.017545
0.530000,0.016913
0.550000,0.016140
0.570000,0.016357
0.590000,0.016002
0.610000,0.015607
0.630000,0.015521
0.650000,0.014660
0.670000,0.014167
0.690000,0.014118
0.710000,0.013515
0.730000,0.013524
0.750000,0.012874
0.770000,0.012984
0.790000,0.012330
0.810000,0.011830
0.830000,0.011447
0.850000,0.011134
0.870000,0.011094
0.890000,0.010430
0.910000,0.009754
0.930000,0.010015
0.950000,0.009489
0.970000,0.009159
0.990000,0.008496
1.010000,0.007975
1.030000,0.007879
1.050000,0.007479
1.070000,0.007364
1.090000,0.007201
1.110000,0.006738
1.130000,0.006611
1.150000,0.006169
1.170000,0.005952
1.190000,0.005371
1.210000,0.005267
1.230000,0.004939
1.250000,0.005036
1.270000,0.004475
1.290000,0.004307
1.310000,0.004168
1.330000,0.004262
1.350000,0.003924
1.370000,0.003602
1.390000,0.003615
1.410000,0.003232
1.430000,0.002900
1.450000,0.002765
1.470000,0.002702
1.490000,0.002522
1.510000,0.002548
1.530000,0.002242
1.550000,0.002069
1.570000,0.001976
1.590000,0.001936
1.610000,0.001804
1.630000,0.001660
1.650000,0.001583
1.670000,0.001438
1.690000,0.001402
1.710000,0.001193
1.730000,0.001219
1.750000,0.001093
1.770000,0.000986
1.790000,0.000833
1.810000,0.000921
1.830000,0.000856
1.850000,0.000778
1.870000,0.000834
1.890000,0.000684
1.910000,0.000604
1.930000,0.000519
1.950000,0.000532
1.970000,0.000562
1.990000,0.000472
2.010000,0.000431
2.030000,0.000368
2.050000,0.000372
2.070000,0.000238
2.090000,0.000364
2.110000,0.000304
2.130000,0.000205
2.150000,0.000213
2.170000,0.000208
2.190000,0.000144
2.210000,0.000177
2.230000,0.000205
2.250000,0.000143
2.270000,0.000166
2.290000,0.000148
2.310000,0.000077
2.330000,0.000128
2.350000,0.000095
2.370000,0.000078
2.390000,0.000072
2.410000,0.000050
2.430000,0.000066
2.450000,0.000041
2.470000,0.000060
2.490000,0.000037
2.510000,0.000022
2.530000,0.000055
2.550000,0.000015
2.570000,0.000043
2.590000,0.000045
2.610000,0.000023
2.630000,0.000028
2.650000,0.000026
2.670000,0.000027
2.690000,0.000019
2.710000,0.000006
2.730000,0.000008
2.750000,0.000016
2.770000,0.000000
2.790000,0.000011
2.810000,0.000015
2.830000,0.000005
2.850000,0.000015
2.870000,0.000014
2.890000,0.000002
2.910000,0.000004
2.930000,0.000007
2.950000,0.000009
2.970000,0.000009
2.990000,0.000001
3.010000,0.000002
3.030000,0.000003
3.050000,0.000008
3.070000,0.000010
3.090000,0.000000
3.110000,0.000002
3.130000,0.000000
3.150000,0.000000
3.170000,0.000000
3.190000,0.000000
3.210000,0.000000
3.230000,0.000000
3.250000,0.000002
3.270000,0.000001
3.290000,0.000000
3.310000,0.000000
3.330000,0.000001
3.350000,0.000001
3.370000,0.000000
3.390000,0.000001
3.410000,0.000000
3.430000,0.000000
3.450000,0.000000
3.470000,0.000000
3.490000,0.000000
3.510000,0.000000
3.530000,0.000000
3.550000,0.000000
3.570000,0.000000
3.590000,0.000000
3.610000,0.000000
3.630000,0.000000
3.650000,0.000000
3.670000,0.000000
3.690000,0.000000
3.710000,0.000000
3.730000,0.000000
3.750000,0.000000
3.770000,0.000000
3.790000,0.000000
3.810000,0.000000
3.830000,0.000000
3.850000,0.000000
3.870000,0.000000
3.890000,0.000000
3.910000,0.000000
3.930000,0.000000
3.950000,0.000000
3.970000,0.000000
3.990000,0.000000
