r,counts
0.010000,0.036895
0.030000,0.036447
0.050000,0.036328
0.070000,0.036420
0.090000,0.035998
0.110000,0.035290
0.130000,0.035249
0.150000,0.035093
0.170000,0.033936
0.190000,0.033520
0.210000,0.033094
0.230000,0.031842
0.250000,0.031258
0.270000,0.030433
0.290000,0.029428
0.310000,0.028781
0.330000,0.027813
0.350000,0.026861
0.370000,0.025742
0.390000,0.024647
0.410000,0.023790
0.430000,0.022386
0.450000,0.021493
0.470000,0.020653
0.490000,0.019622
0.510000,0.018341
0.530000,0.017592
0.550000,0.016072
0.570000,0.015765
0.590000,0.014639
0.610000,0.013687
0.630000,0.013112
0.650000,0.012275
0.670000,0.010841
0.690000,0.010246
0.710000,0.009793
0.730000,0.009350
0.750000,0.008570
0.770000,0.007493
0.790000,0.006993
0.810000,0.005862
0.830000,0.005694
0.850000,0.005407
0.870000,0.004733
0.890000,0.004308
0.910000,0.003992
0.930000,0.003587
0.950000,0.003141
0.970000,0.002893
0.990000,0.002600
1.010000,0.002393
1.030000,0.002053
1.050000,0.001783
1.070000,0.001791
1.090000,0.001546
1.110000,0.001354
1.130000,0.001244
1.150000,0.001066
1.170000,0.000937
1.190000,0.000891
1.210000,0.000839
1.230000,0.000516
1.250000,0.000457
1.270000,0.000390
1.290000,0.000321
1.310000,0.000360
1.330000,0.000298
1.350000,0.000267
1.370000,0.000217
1.390000,0.000176
1.410000,0.000207
1.430000,0.000123
1.450000,0.000130
1.470000,0.000179
1.490000,0.000053
1.510000,0.000094
1.530000,0.000044
1.550000,0.000050
1.570000,0.000020
1.590000,0.000053
1.610000,0.000036
1.630000,0.000016
1.650000,0.000015
1.670000,0.000018
1.690000,0.000014
1.710000,0.000004
1.730000,0.000009
1.750000,0.000005
1.770000,0.000001
1.790000,0.000009
1.810000,0.000000
1.830000,0.000004
1.850000,0.000004
1.870000,0.000000
1.890000,0.000000
1.910000,0.000004
1.930000,0.000000
1.950000,0.000000
1.970000,0.000000
1.990000,0.000001
2.010000,0.000000
2.030000,0.000000
2.050000,0.000000
2.070000,0.000000
2.090000,0.000000
2.110000,0.000000
2.130000,0.000000
2.150000,0.000000
2.170000,0.000000
2.190000,0.000000
2.210000,0.000000
2.230000,0.000000
2.250000,0.000000
2.270000,0.000000
2.290000,0.000000
2.310000,0.000000
2.330000,0.000000
2.350000,0.000000
2.370000,0.000000
2.390000,0.000000
2.410000,0.000000
2.430000,0.000000
2.450000,0.000000
2.470000,0.000000
2.490000,0.000000
2.510000,0.000000
2.530000,0.000000
2.550000,0.000000
2.570000,0.000000
2.590000,0.000000
2.610000,0.000000
2.630000,0.000000
2.650000,0.000000
2.670000,0.000000
2.690000,0.000000
2.710000,0.000000
2.730000,0.000000
2.750000,0.000000
2.770000,0.000000
2.790000,0.000000
2.810000,0.000000
2.830000,0.000000
2.850000,0.000000
2.870000,0.000000
2.890000,0.000000
2.910000,0.000000
2.930000,0.000000
2.950000,0.000000
2.970000,0.000000
2.990000,0.000000
3.010000,0.000000
3.030000,0.000000
3.050000,0.000000
3.070000,0.000000
3.090000,0.000000
3.110000,0.000000
3.130000,0.000000
3.150000,0.000000
3.170000,0.000000
3.190000,0.000000
3.210000,0.000000
3.230000,0.000000
3.250000,0.000000
3.270000,0.000000
3.290000,0.000000
3.310000,0.000000
3.330000,0.000000
3.350000,0.000000
3.370000,0.000000
3.390000,0.000000
3.410000,0.000000
3.430000,0.000000
3.450000,0.000000
3.470000,0.000000
3.490000,0.000000
3.510000,0.000000
3.530000,0.000000
3.550000,0.000000
3.570000,0.000000
3.590000,0.000000
3.610000,0.000000
3.630000,0.000000
3.650000,0.000000
3.670000,0.000000
3.690000,0.000000
3.710000,0.000000
3.730000,0.000000
3.750000,0.000000
3.770000,0.000000
3.790000,0.000000
3.810000,0.000000
3.830000,0.000000
3.850000,0.000000
3.870000,0.000000
3.890000,0.000000
3.910000,0.000000
3.930000,0.000000
3.950000,0.000000
3.970000,0.000000
3.990000,0.000000
