r,counts
0.010000,0.000000
0.030000,0.000057
0.050000,0.000058
0.070000,0.000263
0.090000,0.000453
0.110000,0.000449
0.130000,0.000617
0.150000,0.001275
0.170000,0.001268
0.190000,0.001362
0.210000,0.001704
0.230000,0.002619
0.250000,0.002541
0.270000,0.003268
0.290000,0.003565
0.310000,0.003763
0.330000,0.004148
0.350000,0.004467
0.370000,0.005442
0.390000,0.005782
0.410000,0.007029
0.430000,0.006734
0.450000,0.007664
0.470000,0.007623
0.490000,0.008784
0.510000,0.009230
0.530000,0.008650
0.550000,0.008919
0.570000,0.010380
0.590000,0.010651
0.610000,0.012422
0.630000,0.011931
0.650000,0.011659
0.670000,0.012576
0.690000,0.013392
0.710000,0.013573
0.730000,0.013814
0.750000,0.014641
0.770000,0.014675
0.790000,0.015104
0.810000,0.015686
0.830000,0.015503
0.850000,0.017094
0.870000,0.015612
0.890000,0.016523
0.910000,0.015991
0.930000,0.016169
0.950000,0.016127
0.970000,0.016947
0.990000,0.016627
1.010000,0.017792
1.030000,0.017231
1.050000,0.016404
1.070000,0.017111
1.090000,0.016228
1.110000,0.016280
1.130000,0.015963
1.150000,0.016243
1.170000,0.014901
1.190000,0.014565
1.210000,0.015451
1.230000,0.015105
1.250000,0.015278
1.270000,0.014374
1.290000,0.014217
1.310000,0.013707
1.330000,0.013678
1.350000,0.012184
1.370000,0.012904
1.390000,0.012534
1.410000,0.012587
1.430000,0.012175
1.450000,0.011594
1.470000,0.011525
1.490000,0.010713
1.510000,0.010708
1.530000,0.010122
1.550000,0.010081
1.570000,0.009468
1.590000,0.009271
1.610000,0.008923
1.630000,0.008836
1.650000,0.007852
1.670000,0.008385
1.690000,0.007243
1.710000,0.007160
1.730000,0.006761
1.750000,0.006064
1.770000,0.006316
1.790000,0.006131
1.810000,0.005648
1.830000,0.004823
1.850000,0.005707
1.870000,0.004962
1.890000,0.004103
1.910000,0.004411
1.930000,0.004430
1.950000,0.003975
1.970000,0.003747
1.990000,0.003498
2.010000,0.003287
2.030000,0.003024
2.050000,0.002729
2.070000,0.002886
2.090000,0.002759
2.110000,0.002510
2.130000,0.002066
2.150000,0.001836
2.170000,0.001939
2.190000,0.001961
2.210000,0.001762
2.230000,0.001434
2.250000,0.001232
2.270000,0.001247
2.290000,0.001329
2.310000,0.000838
2.330000,0.001092
2.350000,0.001011
2.370000,0.001064
2.390000,0.000862
2.410000,0.000778
2.430000,0.000641
2.450000,0.000604
2.470000,0.000413
2.490000,0.000491
2.510000,0.000666
2.530000,0.000601
2.550000,0.000397
2.570000,0.000470
2.590000,0.000366
2.610000,0.000343
2.630000,0.000230
2.650000,0.000360
2.670000,0.000179
2.690000,0.000334
2.710000,0.000203
2.730000,0.000234
2.750000,0.000153
2.770000,0.000149
2.790000,0.000126
2.810000,0.000079
2.830000,0.000072
2.850000,0.000066
2.870000,0.000140
2.890000,0.000097
2.910000,0.000155
2.930000,0.000047
2.950000,0.000048
2.970000,0.000023
2.990000,0.000097
3.010000,0.000028
3.030000,0.000037
3.050000,0.000078
3.070000,0.000047
3.090000,0.000015
3.110000,0.000037
3.130000,0.000005
3.150000,0.000006
3.170000,0.000014
3.190000,0.000005
3.210000,0.000015
3.230000,0.000015
3.250000,0.000036
3.270000,0.000006
3.290000,0.000000
3.310000,0.000008
3.330000,0.000000
3.350000,0.000011
3.370000,0.000000
3.390000,0.000000
3.410000,0.000000
3.430000,0.000000
3.450000,0.000000
3.470000,0.000000
3.490000,0.000000
3.510000,0.000000
3.530000,0.000000
3.550000,0.000000
3.570000,0.000000
3.590000,0.000000
3.610000,0.000000
3.630000,0.000000
3.650000,0.000000
3.670000,0.000000
3.690000,0.000000
3.710000,0.000000
3.730000,0.000000
3.750000,0.000000
3.770000,0.000000
3.790000,0.000000
3.810000,0.000000
3.830000,0.000000
3.850000,0.000000
3.870000,0.000000
3.890000,0.000000
3.910000,0.000000
3.930000,0.000000
3.950000,0.000000
3.970000,0.000000
3.990000,0.000000
