r,counts
0.01,3.8147e-06
0.03,5.59489e-05
0.05,0.000116984
0.07,0.000190735
0.09,0.000334422
0.11,0.000572205
0.13,0.000778198
0.15,0.00088501
0.17,0.00112534
0.19,0.00133387
0.21,0.00175222
0.23,0.00226593
0.25,0.00247701
0.27,0.0030276
0.29,0.00318782
0.31,0.00382233
0.33,0.00400925
0.35,0.00443014
0.37,0.00555166
0.39,0.00566483
0.41,0.00643539
0.43,0.00686391
0.45,0.00740941
0.47,0.00730387
0.49,0.00796
0.51,0.00899124
0.53,0.00948207
0.55,0.0101318
0.57,0.0108185
0.59,0.0112292
0.61,0.0120214
0.63,0.0116374
0.65,0.012839
0.67,0.0127436
0.69,0.0136846
0.71,0.0144552
0.73,0.0144246
0.75,0.0144234
0.77,0.0150566
0.79,0.0155919
0.81,0.0157738
0.83,0.0151393
0.85,0.015639
0.87,0.0163536
0.89,0.0166601
0.91,0.0171649
0.93,0.0161692
0.95,0.0173187
0.97,0.0171839
0.99,0.0173136
1.01,0.0163549
1.03,0.0173531
1.05,0.0167643
1.07,0.0168839
1.09,0.0165609
1.11,0.0166283
1.13,0.0169067
1.15,0.0155144
1.17,0.0157153
1.19,0.0154508
1.21,0.0155245
1.23,0.014595
1.25,0.0147438
1.27,0.0145721
1.29,0.0143013
1.31,0.0135943
1.33,0.0137291
1.35,0.0129509
1.37,0.013134
1.39,0.0121524
1.41,0.0119324
1.43,0.0111389
1.45,0.0110232
1.47,0.011336
1.49,0.01054
1.51,0.0104828
1.53,0.0103798
1.55,0.010081
1.57,0.00929133
1.59,0.00855255
1.61,0.00874837
1.63,0.00761541
1.65,0.00810623
1.67,0.00807444
1.69,0.0075442
1.71,0.00711823
1.73,0.00634511
1.75,0.0064621
1.77,0.00586319
1.79,0.00601196
1.81,0.00561015
1.83,0.00579071
1.85,0.00513458
1.87,0.0046463
1.89,0.00443522
1.91,0.00451024
1.93,0.00366847
1.95,0.00397619
1.97,0.00297674
1.99,0.0034523
2.01,0.00323359
2.03,0.00286484
2.05,0.00278473
2.07,0.00247955
2.09,0.0025355
2.11,0.00239944
2.13,0.00214513
2.15,0.00205994
2.17,0.0020078
2.19,0.00155512
2.21,0.00180181
2.23,0.0014979
2.25,0.00139872
2.27,0.00136566
2.29,0.00128555
2.31,0.00127411
2.33,0.000960032
2.35,0.000914256
2.37,0.000951131
2.39,0.000912984
2.41,0.000882467
2.43,0.000615438
2.45,0.000920614
2.47,0.000656128
2.49,0.000443776
2.51,0.000563304
2.53,0.00050354
2.55,0.00042216
2.57,0.000408173
2.59,0.000382741
2.61,0.000404358
2.63,0.000372569
2.65,0.000283559
2.67,0.000250498
2.69,0.00022761
2.71,0.000241597
2.73,0.000193278
2.75,0.000181834
2.77,0.00016276
2.79,0.000120799
2.81,0.000147502
2.83,0.000147502
2.85,0.000141144
2.87,0.000106812
2.89,9.02812e-05
2.91,8.13802e-05
2.93,5.34058e-05
2.95,2.9246e-05
2.97,3.30607e-05
2.99,2.9246e-05
3.01,3.68754e-05
3.03,2.79744e-05
3.05,3.17891e-05
3.07,1.78019e-05
3.09,1.90735e-05
3.11,8.90096e-06
3.13,1.65304e-05
3.15,6.35783e-06
3.17,2.03451e-05
3.19,2.28882e-05
3.21,1.90735e-05
3.23,3.8147e-06
3.25,8.90096e-06
3.27,7.62939e-06
3.29,2.54313e-05
3.31,6.35783e-06
3.33,2.54313e-06
3.35,7.62939e-06
3.37,2.41597e-05
3.39,7.62939e-06
3.41,1.52588e-05
3.43,2.54313e-06
3.45,0
3.47,0
3.49,1.27157e-06
3.51,7.62939e-06
3.53,1.01725e-05
3.55,3.05176e-05
3.57,2.54313e-06
3.59,1.27157e-06
3.61,0
3.63,0
3.65,0
3.67,0
3.69,0
3.71,0
3.73,0
3.75,0
3.77,0
3.79,0
3.81,0
3.83,0
3.85,0
3.87,0
3.89,0
3.91,0
3.93,0
3.95,0
3.97,0
3.99,0
