r,counts
0.01,0
0.03,2.74658e-05
0.05,0.000170898
0.07,0.000286865
0.09,0.000393677
0.11,0.000665283
0.13,0.000837708
0.15,0.0013031
0.17,0.00116425
0.19,0.00162659
0.21,0.00246124
0.23,0.003125
0.25,0.00280914
0.27,0.00377197
0.29,0.00463257
0.31,0.00556488
0.33,0.00503998
0.35,0.00576782
0.37,0.00608368
0.39,0.00776367
0.41,0.00725708
0.43,0.00814209
0.45,0.00865784
0.47,0.00967712
0.49,0.010025
0.51,0.0104492
0.53,0.0105652
0.55,0.0115326
0.57,0.0125931
0.59,0.0108353
0.61,0.0117004
0.63,0.0126328
0.65,0.0116455
0.67,0.0134033
0.69,0.0135605
0.71,0.013205
0.73,0.0141006
0.75,0.0133026
0.77,0.0141876
0.79,0.0143295
0.81,0.0141754
0.83,0.0151855
0.85,0.0156372
0.87,0.0157059
0.89,0.0166946
0.91,0.0171097
0.93,0.0161865
0.95,0.0158936
0.97,0.017244
0.99,0.0159454
1.01,0.0167892
1.03,0.0152863
1.05,0.0156235
1.07,0.0158066
1.09,0.0147995
1.11,0.0156784
1.13,0.0150482
1.15,0.0150986
1.17,0.0144958
1.19,0.0147125
1.21,0.0137604
1.23,0.0137787
1.25,0.0139084
1.27,0.0140182
1.29,0.0127029
1.31,0.0130722
1.33,0.0135803
1.35,0.0123001
1.37,0.0118698
1.39,0.0124985
1.41,0.0102432
1.43,0.0111511
1.45,0.0106339
1.47,0.0104553
1.49,0.0106445
1.51,0.00978546
1.53,0.010379
1.55,0.00856781
1.57,0.00879059
1.59,0.00870361
1.61,0.00802917
1.63,0.00735168
1.65,0.00708923
1.67,0.0070282
1.69,0.00756683
1.71,0.0065033
1.73,0.00653687
1.75,0.00552521
1.77,0.0053772
1.79,0.0058197
1.81,0.00467377
1.83,0.00519257
1.85,0.0050705
1.87,0.00504761
1.89,0.00454407
1.91,0.00479736
1.93,0.00413666
1.95,0.00378571
1.97,0.0033493
1.99,0.00428314
2.01,0.0030304
2.03,0.0033783
2.05,0.00334778
2.07,0.00264893
2.09,0.00327911
2.11,0.002565
2.13,0.0019928
2.15,0.00161591
2.17,0.00219116
2.19,0.00167389
2.21,0.00203094
2.23,0.00182495
2.25,0.00165558
2.27,0.00184937
2.29,0.00147858
2.31,0.00115051
2.33,0.00123138
2.35,0.00144501
2.37,0.00118103
2.39,0.000907898
2.41,0.00143585
2.43,0.00130615
2.45,0.00117645
2.47,0.00118408
2.49,0.00111542
2.51,0.000971985
2.53,0.000758362
2.55,0.000975037
2.57,0.000718689
2.59,0.00085907
2.61,0.000787354
2.63,0.000621033
2.65,0.000930786
2.67,0.000627136
2.69,0.000743103
2.71,0.000636292
2.73,0.000291443
2.75,0.000495911
2.77,0.00038147
2.79,0.000396729
2.81,0.000227356
2.83,0.000311279
2.85,0.000245667
2.87,0.000233459
2.89,0.000201416
2.91,0.000195313
2.93,6.56128e-05
2.95,2.74658e-05
2.97,0.000146484
2.99,5.34058e-05
3.01,9.46045e-05
3.03,3.50952e-05
3.05,2.44141e-05
3.07,1.2207e-05
3.09,1.83105e-05
3.11,1.06812e-05
3.13,2.13623e-05
3.15,2.28882e-05
3.17,3.35693e-05
3.19,3.05176e-06
3.21,4.73022e-05
3.23,1.52588e-05
3.25,0
3.27,2.59399e-05
3.29,0
3.31,5.79834e-05
3.33,1.2207e-05
3.35,0
3.37,0
3.39,0
3.41,0
3.43,0
3.45,0
3.47,0
3.49,0
3.51,0
3.53,0
3.55,0
3.57,0
3.59,0
3.61,0
3.63,0
3.65,0
3.67,0
3.69,0
3.71,0
3.73,0
3.75,0
3.77,0
3.79,0
3.81,0
3.83,0
3.85,0
3.87,0
3.89,0
3.91,0
3.93,0
3.95,0
3.97,0
3.99,0
