alpha,energy,std,acceptance
0.3,5.10069,1.26802,0.993386
0.32,4.95471,0.964071,0.992739
0.34,4.8355,0.699393,0.992031
0.36,4.74092,0.500135,0.991337
0.38,4.67037,0.345209,0.99058
0.4,4.61425,0.229489,0.989844
0.42,4.56921,0.138533,0.98888
0.44,4.5366,0.0743521,0.988187
0.46,4.51547,0.0312366,0.987434
0.48,4.504,0.0074807,0.98673
0.5,4.5,0,0.98571
0.52,4.50368,0.00693855,0.984885
0.54,4.51367,0.0267786,0.984045
0.56,4.52866,0.0581654,0.983336
0.58,4.55006,0.0998528,0.982176
0.6,4.574,0.151421,0.98123
0.62,4.60624,0.211192,0.980406
0.64,4.64208,0.278575,0.979338
0.66,4.67585,0.354296,0.978541
0.68,4.71633,0.438283,0.977535
0.7,4.75738,0.532384,0.976348
