dt,energy,std,acceptance
0.001,15,0,0.999986
0.00120226,15,0,0.999983
0.00144544,15,0,0.999976
0.0017378,15,0,0.999969
0.0020893,15,0,0.999956
0.00251189,15,0,0.999948
0.00301995,15,0,0.999928
0.00363078,15,0,0.999909
0.00436516,15,0,0.999886
0.00524807,15,0,0.999832
0.00630957,15,0,0.999767
0.00758578,15,0,0.999707
0.00912011,15,0,0.999584
0.0109648,15,0,0.999492
0.0131826,15,0,0.999325
0.0158489,15,0,0.999103
0.0190546,15,0,0.998876
0.0229087,15,0,0.998449
0.0275423,15,0,0.997962
0.0331131,15,0,0.997285
0.0398107,15,0,0.996433
0.047863,15,0,0.995249
0.057544,15,0,0.993827
0.0691831,15,0,0.991906
0.0831764,15,0,0.989181
0.1,15,0,0.985767
0.120226,15,0,0.981209
0.144544,15,0,0.975368
0.17378,15,0,0.967528
0.20893,15,0,0.956868
0.251189,15,0,0.943291
0.301995,15,0,0.925442
0.363078,15,0,0.901731
0.436516,15,0,0.871197
0.524807,15,0,0.830983
0.630957,15,0,0.778884
0.758578,15,0,0.712899
0.912011,15,0,0.631209
1.09648,15,0,0.533223
1.31826,15,0,0.422693
1.58489,15,0,0.309093
1.90546,15,0,0.205392
2.29087,15,0,0.123963
2.75423,15,0,0.0677562
3.31131,15,0,0.030561
3.98107,15,0,0.00931549
4.7863,15,0,0.00222254
5.7544,15,0,0.00104475
6.91831,15,0,0.000135899
8.31764,15,0,5.96046e-05
10,15,0,4.76837e-07
